code,area,date,median_salary,life_satisfaction,mean_salary,recycling_pct,population_size,number_of_jobs,area_size,no_of_houses,borough_flag
E09000020,kensington and chelsea,12/1/05,26855,,33106.0,20,168375,134000,1238,84518,1
E09000021,kingston upon thames,12/1/05,24937,,32985.0,24,152489,82000,3726,63918,1
E09000022,lambeth,12/1/05,28347,,36464.0,22,277620,141000,2725,123839,1
E09000023,lewisham,12/1/05,28022,,30443.0,12,254930,80000,3532,111594,1
E09000024,merton,12/1/05,25991,,30422.0,23,190583,85000,3762,80271,1
E09000025,newham,12/1/05,26331,,28450.0,10,253798,84000,3857,97378,1
E09000026,redbridge,12/1/05,26462,,30087.0,17,251560,84000,5644,96903,1
E09000027,richmond upon thames,12/1/05,26809,,30298.0,29,181508,88000,5876,79877,1
E09000028,southwark,12/1/05,29534,,36022.0,15,261811,201000,2991,112162,1
E09000029,sutton,12/1/05,25714,,29187.0,29,182103,72000,4385,78354,1
E09000030,tower hamlets,12/1/05,39493,,71063.0,9,213382,198000,2158,88380,1
E09000031,waltham forest,12/1/05,21931,,25800.0,22,226747,76000,3881,93618,1
E09000032,wandsworth,12/1/05,26549,,31455.0,21,283229,124000,3522,125880,1
E09000033,westminster,12/1/05,32519,,50430.0,18,223132,614000,2203,108200,1
E12000001,north east,12/1/05,20263,,23557.0,21,2547127,1180000,,,0
E12000002,north west,12/1/05,21777,,25613.0,24,6870021,3360000,,,0
E12000003,yorkshire and the humber,12/1/05,21506,,25500.0,22,5108408,2567000,,,0
E12000004,east midlands,12/1/05,21494,,24700.0,32,4329112,2133000,,,0
E12000005,west midlands,12/1/05,21447,,25250.0,25,5380687,2691000,,,0
E12000006,east,12/1/05,22883,,27860.0,34,5562653,2773000,,,0
E12000007,london,12/1/05,29882,,41707.0,21,7519009,4706000,159471,3184386,0
E12000008,south east,12/1/05,24229,,29276.0,29,8202896,4423000,,,0
E12000009,south west,12/1/05,21279,,25440.0,31,5086121,2643000,,,0
E13000001,inner london,12/1/05,32230,,48936.0,,2957048,,32796,1309404,0
E13000002,outer london,12/1/05,26176,,30404.0,,4561961,,126676,1874982,0
E92000001,england,12/1/05,23280,,28928.0,27,50606034,26478000,13303728,21869913,0
K02000001,united kingdom,12/1/05,22888,,28191.0,,60413276,31377000,,,0
